Tabela 8881 - Índice e variação da receita nominal e do volume de vendas no comércio varejista ampliado (2022 = 100);;;;
Brasil;;;;
Mês;Variável x Tipos de índice;;;
;PMC - Número-índice (2022=100) (Número-índice);;PMC - Número-índice com ajuste sazonal (2022=100) (Número-índice);
;Índice de receita nominal de vendas no comércio varejista ampliado;Índice de volume de vendas no comércio varejista ampliado;Índice de receita nominal de vendas no comércio varejista ampliado;Índice de volume de vendas no comércio varejista ampliado
março 2022;98.15405;99.67284;97.76354;100.58698
abril 2022;97.14356;96.44421;99.15645;100.20266
maio 2022;102.6938;101.64301;102.94564;103.4915
junho 2022;99.41082;97.45648;100.08411;98.94039
julho 2022;101.33541;99.69776;100.30555;98.75659
agosto 2022;102.80024;101.98242;100.09282;98.45637
setembro 2022;99.0285;98.81723;101.07058;99.70064
outubro 2022;101.39577;100.6449;101.67005;99.98959
novembro 2022;105.40768;104.84204;101.44747;99.45739
dezembro 2022;118.53089;116.73742;102.58047;100.06823
janeiro 2023;96.48608;93.85603;103.62188;100.55942
fevereiro 2023;91.51316;88.83618;105.61178;102.61423
março 2023;111.95957;108.46761;109.38636;107.47682
abril 2023;102.7456;98.95585;107.21929;105.27159
maio 2023;108.51344;104.64906;106.83723;104.70474
junho 2023;108.31719;105.49756;107.86375;105.97054
Fonte: IBGE - Pesquisa Mensal de Comércio;;;;
