mes;alimentos;manga;uva;habitacao;residencia;vestuario;transportes;saude;despesas;educacao;comunicacao;pe_alimentos;pe_manga;pe_uva;pe_habitacao;pe_residencia;pe_vestuario;pe_transportes;pe_saude;pe_despesas;pe_educacao;pe_comunicacao
ago/00;2.07;8.64;7.47;0.43;0.82;0.42;2.7;0.89;0.32;0.2;-0.04;22.1122;0.0005;0.0436;15.8326;5.8232;5.4897;21.3969;11.2133;9.6832;4.8748;3.574
set/00;0.53;-8.94;-0.92;0.14;0.61;0.57;-0.01;-0.11;0.18;0.26;0.19;22.2779;0.0001;0.0595;15.694;5.7952;5.4418;21.6886;11.1663;9.5894;4.8212;3.5255
out/00;0.16;-3.81;4.83;0.04;0.39;0.63;0.13;-0.06;0.17;0.1;0.05;22.3398;0.0241;0.061;15.6832;5.8176;5.4595;21.6408;11.1279;9.5854;4.8225;3.5234
nov/00;-0.07;-11.57;0.17;0.74;0.53;0.51;0.71;-0.11;0.07;0.2;0.1;22.3448;0.028;0.0323;15.666;5.8322;5.4864;21.6377;11.1051;9.5878;4.8202;3.5197
dez/00;-0.48;-12.63;5.18;0.96;0.55;1.07;1.87;-0.09;0.49;0.21;0.04;22.2593;0.0832;0.0262;15.727;5.8446;5.4977;21.7209;11.0578;9.5643;4.8153;3.5132
jan/01;0.63;7.29;-23.24;0.65;0.6;-0.05;0.72;0.17;0.38;1.41;0.32;22.021;0.0492;0.1258;15.7843;5.8428;5.5243;21.9977;10.9836;9.5548;4.7974;3.4941
fev/01;0.05;7.04;-5.76;0.38;0.13;-0.56;0.77;0.72;0.18;2.88;0.14;22.0295;0.0426;0.1104;15.8012;5.8454;5.4885;22.038;10.9404;9.5379;4.8358;3.4834
mar/01;1.17;17.8;9.52;0.15;-0.06;-0.42;0.12;0.6;0.04;0.49;0.07;21.9392;0.0379;0.0972;15.7898;5.8269;5.4322;22.1078;10.9687;9.5129;4.951;3.4715
abr/01;1.8;32.45;11.39;0.64;0.11;-0.11;-0.32;0.19;0.98;0.64;0;22.1109;0.0073;0.0644;15.754;5.8014;5.3893;22.0521;10.9934;9.4807;4.9572;3.4611
mai/01;0.58;-19.69;-0.65;1.06;-0.07;0.14;0.3;-0.05;0.5;0.07;0.05;22.3782;0.003;0.0601;15.7679;5.7747;5.3513;21.8585;10.9513;9.5177;4.96;3.4404
jun/01;0.1;-12.12;-7.36;1.02;0.04;1.04;1.34;-0.64;0.08;0.14;1.17;22.4126;0.0048;0.0606;15.8725;5.7468;5.3358;21.8352;10.901;9.5255;4.9429;3.4278
jul/01;0.67;0;7.1;1.97;0.36;0.69;2.08;0.3;1.27;0.2;5.43;22.322;0;0.0678;15.948;5.7193;5.3653;22.0094;10.7752;9.4843;4.9252;3.4514
ago/01;0.83;43.26;4.38;0.78;0.25;0.43;0.64;0.73;1.05;0.45;0.39;22.1815;0.0005;0.039;16.0455;5.6641;5.3323;22.1683;10.6651;9.4801;4.8708;3.5924
set/01;0.39;-11.76;-2.73;0.55;0.17;0.24;0.07;0.37;0.16;0.4;-0.15;22.2088;0.0001;0.0531;16.0588;5.6391;5.3178;22.1561;10.6679;9.5136;4.8577;3.5802
out/01;1.15;-27.71;10.33;0.67;1.09;0.61;0.98;0.3;1.31;0.01;0.07;22.23;0.0199;0.0547;16.1054;5.6327;5.3145;22.1118;10.6767;9.5026;4.8624;3.5638
nov/01;1.31;-17.63;1.1;0.68;1.14;0.89;0.35;0.45;0.6;0.31;0.04;22.3;0.023;0.0285;16.0818;5.6469;5.3019;22.1437;10.6209;9.5473;4.8219;3.5357
dez/01;0.56;0.52;-9.18;0.48;1.25;1.91;0.69;0.99;0.17;0.12;-0.05;22.4307;0.0661;0.0237;16.0726;5.6716;5.3124;22.0654;10.594;9.5374;4.8032;3.5127
jan/02;0.85;-1.61;-9.35;2.81;1.05;0.55;-1.5;0.3;0.57;0.41;0.43;22.4075;0.0388;0.103;16.0439;5.7058;5.3793;22.0759;10.6294;9.4918;4.7782;3.4882
fev/02;0.2;10.87;-3.56;0.23;0.66;-0.67;-0.5;1.1;0.37;4.7;0.4;22.478;0.0343;0.0923;16.409;5.7365;5.3809;21.6359;10.6062;9.4953;4.7734;3.4848
mar/02;0.39;21;12.35;0.93;-0.13;0;1.04;1.29;-0.25;0.65;0.02;22.44;0.031;0.0785;16.3868;5.7533;5.3254;21.4495;10.6833;9.4965;4.9791;3.4861
abr/02;-0.32;22.91;7.31;1.4;-0.02;1.05;2.02;0.76;0.54;0.38;0.01;22.3908;0.0057;0.0516;16.4429;5.711;5.2917;21.5435;10.757;9.416;4.9811;3.466
mai/02;-0.59;28.5;-0.74;0.28;0.83;1.39;0.33;0.17;0.68;0.44;0;22.1433;0.0029;0.0473;16.5427;5.664;5.3042;21.804;10.7524;9.3909;4.96;3.4386
jun/02;0.08;-3.15;-4.56;1.09;0.06;1.39;0.32;0.23;0.29;0.18;0.22;21.9689;0.0036;0.0496;16.5532;5.6987;5.3664;21.8279;10.748;9.4339;4.9716;3.4314
jul/02;1.05;0;-1.69;1.8;0.21;0.91;0.55;0.53;1.02;0.12;9.31;21.8935;0;0.0541;16.6645;5.6793;5.4186;21.8092;10.7288;9.4223;4.9597;3.4242
ago/02;1.94;-5.5;0.26;0.43;0.66;0.21;-0.15;0.5;0.53;0.29;0.47;21.8641;0.0005;0.0312;16.765;5.6242;5.4035;21.6707;10.6591;9.407;4.9071;3.6993
set/02;1.96;-4.57;2.24;-0.39;1.73;0.55;0.34;0.64;0.61;0.4;0.11;22.1401;0.0001;0.0429;16.7285;5.6256;5.3803;21.503;10.6436;9.3971;4.8898;3.6922
out/02;2.79;-2.63;14.22;0.3;2.27;1.22;1.2;0.63;1.12;0.13;0.06;22.4131;0.0156;0.0452;16.5453;5.682;5.3705;21.4231;10.6354;9.3873;4.8741;3.6691
nov/02;5.85;-11.68;14;2.02;2.88;0.97;4.68;0.88;0.41;0.24;0.03;22.741;0.0189;0.0252;16.3842;5.7358;5.3648;21.399;10.565;9.3697;4.8171;3.6233
