Tabela 8880 - Índice e variação da receita nominal e do volume de vendas no comércio varejista (2022 = 100);;;;
Brasil;;;;
Mês;Variável x Tipos de índice;;;
;PMC - Número-índice (2022=100) (Número-índice);;PMC - Número-índice com ajuste sazonal (2022=100) (Número-índice);
;Índice de receita nominal de vendas no comércio varejista;Índice de volume de vendas no comércio varejista;Índice de receita nominal de vendas no comércio varejista;Índice de volume de vendas no comércio varejista
abril 2022;98.35048;96.98576;101.18212;100.64632
maio 2022;102.20775;100.59259;102.53437;103.43193
junho 2022;99.50508;96.86423;102.23649;99.89662
julho 2022;101.29726;99.1827;101.23717;99.70228
agosto 2022;100.46498;99.6294;101.07912;99.92623
setembro 2022;96.85881;97.0433;101.21652;100.92939
outubro 2022;101.69034;101.35957;101.40568;101.18164
novembro 2022;106.5041;106.66694;100.93169;100.49718
dezembro 2022;124.48386;123.31739;100.36866;97.46494
janeiro 2023;97.9732;95.82508;103.65488;101.46974
fevereiro 2023;91.23585;89.17154;102.82498;101.29031
março 2023;102.5851;100.13806;105.7683;101.9484
abril 2023;100.70297;97.44311;104.17038;101.79824
maio 2023;102.46157;99.50369;101.88619;101.09924
junho 2023;100.1005;98.16441;102.36083;101.09494
Fonte: IBGE - Pesquisa Mensal de Comércio;;;;
